Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Afghanistan,AFG,..,..,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.7,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Angola,AGO,..,..,2.8,2.7,2.7,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Armenia,ARM,..,..,4,4,4,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Bangladesh,BGD,..,..,3.4,3.4,3.5,3.6,3.5,3.5,3.4,3.4,3.3,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Benin,BEN,..,..,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.5,3.5,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Bhutan,BTN,..,..,4,4,4,4,4,4,4,4,4,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Bolivia,BOL,..,..,3.7,3.8,3.7,3.7,3.7,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Bosnia and Herzegovina,BIH,..,..,3.6,3.6,3.6,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Botswana,BWA,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Burkina Faso,BFA,..,..,3.7,3.7,3.7,3.6,3.6,3.7,3.7,3.7,3.6,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Burundi,BDI,..,..,3.4,3.6,3.6,3.6,3.6,3.5,3.5,3.5,3.5,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Cabo Verde,CPV,..,..,4.2,4,4,4,3.8,3.8,3.9,3.9,3.9,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Cambodia,KHM,..,..,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.4,3.5,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Cameroon,CMR,..,..,3,3,3,3,3,3.1,3.1,3.2,3.2,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Central African Republic,CAF,..,..,2.6,2.6,2.3,2.2,2.3,2.3,2.3,2.4,2.3,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Chad,TCD,..,..,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.8,3,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Chile,CHL,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,China,CHN,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Comoros,COM,..,..,2.7,2.8,2.8,2.8,2.9,2.9,2.8,2.8,2.7,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,"Congo, Dem. Rep.",COD,..,..,2.8,2.8,2.8,2.9,3,3,3,3.1,3.1,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,"Congo, Rep.",COG,..,..,2.9,3,3,3,3,2.9,2.8,2.8,2.8,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Costa Rica,CRI,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Cote d'Ivoire,CIV,..,..,2.6,2.8,2.9,2.9,3,3.2,3.3,3.4,3.5,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Croatia,HRV,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Cyprus,CYP,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Czech Republic,CZE,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Denmark,DNK,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Djibouti,DJI,..,..,3.1,3.1,3,3,3,3,3,3.1,3.2,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Dominica,DMA,..,..,3.7,3.6,3.6,3.5,3.4,3.4,3.4,3.4,3.4,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Dominican Republic,DOM,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Ecuador,ECU,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,"Egypt, Arab Rep.",EGY,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,El Salvador,SLV,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Eritrea,ERI,..,..,2.7,2.7,2.7,2.7,2.6,2.4,2.4,2.6,2.6,..
